top_level,subject_id,phase,tasks_present,missing_tasks,n_missing
12_Months,M21116,E2,"['arm_restraint', 'depth', 'freeplay', 'maap', 'nail_clipping', 'still_face']",[],0
12_Months,M21146,E1,"['arm_restraint', 'depth', 'freeplay', 'maap', 'nail_clipping', 'still_face']",[],0
12_Months,M21146,E2,"['arm_restraint', 'depth', 'freeplay', 'maap', 'nail_clipping', 'still_face']",[],0
12_Months,M21152,E1,"['arm_restraint', 'depth', 'freeplay', 'maap', 'still_face']",['nail_clipping'],1
12_Months,M21152,E2,"['arm_restraint', 'depth', 'freeplay', 'maap', 'still_face']",['nail_clipping'],1
12_Months,M21184,E1,"['arm_restraint', 'depth', 'freeplay', 'maap', 'nail_clipping', 'still_face']",[],0
12_Months,M21184,E2,"['arm_restraint', 'depth', 'freeplay', 'maap', 'nail_clipping', 'still_face']",[],0
12_Months,M21215,E1,"['arm_restraint', 'depth', 'freeplay', 'maap', 'nail_clipping', 'still_face']",[],0
12_Months,M21215,E2,"['arm_restraint', 'freeplay', 'maap', 'nail_clipping', 'still_face']",[],0
12_Months,M21226,E1,"['arm_restraint', 'depth', 'freeplay', 'maap', 'nail_clipping', 'still_face']",[],0
12_Months,M21226,E2,"['arm_restraint', 'depth', 'freeplay', 'maap', 'nail_clipping', 'still_face']",[],0
12_Months,M21259,E1,"['arm_restraint', 'still_face']","['freeplay', 'maap', 'nail_clipping']",3
12_Months,M21269,E1,"['arm_restraint', 'depth', 'freeplay', 'maap', 'nail_clipping', 'still_face']",[],0
12_Months,M21349,E1,"['arm_restraint', 'depth', 'freeplay', 'maap', 'nail_clipping', 'still_face']",[],0
12_Months,M21478,E1,"['arm_restraint', 'depth', 'freeplay', 'maap', 'nail_clipping', 'still_face']",[],0
12_Months,M21587,E1,"['arm_restraint', 'calibration', 'depth', 'freeplay', 'maap', 'nail_clipping', 'still_face']",[],0
12_Months,M21588,E1,"['arm_restraint', 'depth', 'freeplay', 'maap', 'nail_clipping', 'still_face']",[],0
12_Months,M21588,E2,"['arm_restraint', 'depth', 'freeplay', 'maap', 'nail_clipping', 'still_face']",[],0
12_Months,M21603,E1,"['arm_restraint', 'depth', 'freeplay', 'maap', 'nail_clipping', 'still_face']",[],0
12_Months,M21614,E1,"['arm_restraint', 'depth', 'freeplay', 'maap', 'nail_clipping', 'still_face']",[],0
12_Months,M21614,E2,"['arm_restraint', 'depth', 'freeplay', 'maap', 'nail_clipping', 'still_face']",[],0
12_Months,M21659,E1,['arm_restraint'],"['freeplay', 'maap', 'nail_clipping', 'still_face']",4
12_Months,M21663,E1,"['arm_restraint', 'depth', 'freeplay', 'maap', 'nail_clipping', 'still_face']",[],0
12_Months,M21706,E1,"['arm_restraint', 'depth', 'freeplay', 'maap', 'nail_clipping', 'still_face']",[],0
12_Months,M21706,E2,"['arm_restraint', 'freeplay', 'maap', 'nail_clipping', 'still_face']",[],0
12_Months,M21722,E1,"['arm_restraint', 'depth', 'freeplay', 'maap', 'still_face']",['nail_clipping'],1
12_Months,M21722,E2,"['arm_restraint', 'calibration', 'freeplay', 'maap', 'still_face']",['nail_clipping'],1
12_Months,M21752,E1,"['arm_restraint', 'depth', 'freeplay', 'maap', 'nail_clipping', 'still_face']",[],0
12_Months,M21780,E1,"['arm_restraint', 'depth', 'freeplay', 'maap', 'nail_clipping', 'still_face']",[],0
12_Months,M21780,E2,"['arm_restraint', 'depth', 'freeplay', 'maap', 'still_face']",['nail_clipping'],1
12_Months,M21793,E1,"['arm_restraint', 'depth', 'freeplay', 'maap', 'nail_clipping', 'still_face']",[],0
12_Months,M21793,E2,"['arm_restraint', 'calibration', 'freeplay', 'maap', 'nail_clipping', 'still_face']",[],0
12_Months,M21805,E1,"['arm_restraint', 'depth', 'freeplay', 'maap', 'still_face']",['nail_clipping'],1
12_Months,M21805,E2,"['arm_restraint', 'freeplay', 'maap', 'still_face']",['nail_clipping'],1
12_Months,M22000,E1,"['arm_restraint', 'depth', 'freeplay', 'maap', 'nail_clipping', 'still_face']",[],0
12_Months,M22000,E2,"['arm_restraint', 'freeplay', 'maap', 'nail_clipping', 'still_face']",[],0
12_Months,M22179,E1,"['arm_restraint', 'freeplay', 'maap', 'nail_clipping', 'still_face']",[],0
12_Months,M22179,E2,"['arm_restraint', 'freeplay', 'maap', 'nail_clipping', 'still_face']",[],0
12_Months,M22289,E1,"['arm_restraint', 'depth', 'freeplay', 'maap', 'nail_clipping', 'still_face']",[],0
12_Months,M22289,E2,"['arm_restraint', 'depth', 'freeplay', 'maap', 'nail_clipping', 'still_face']",[],0
12_Months,M22306,E1,"['arm_restraint', 'calibration', 'depth', 'freeplay', 'maap', 'nail_clipping', 'still_face']",[],0
12_Months,M22306,E2,"['arm_restraint', 'freeplay', 'maap', 'nail_clipping', 'still_face']",[],0
12_Months,M22380,E1,"['arm_restraint', 'depth', 'freeplay', 'maap', 'still_face']",['nail_clipping'],1
12_Months,M22381,E1,"['arm_restraint', 'depth', 'freeplay', 'maap', 'nail_clipping', 'still_face']",[],0
12_Months,M22381,E2,"['arm_restraint', 'freeplay', 'maap', 'nail_clipping', 'still_face']",[],0
12_Months,M22382,E1,"['arm_restraint', 'depth', 'freeplay', 'maap', 'nail_clipping', 'still_face']",[],0
12_Months,M22400,E1,"['arm_restraint', 'depth', 'freeplay', 'maap', 'nail_clipping', 'still_face']",[],0
12_Months,M22400,E2,"['arm_restraint', 'freeplay', 'maap', 'nail_clipping', 'still_face']",[],0
12_Months,M22439,E1,"['arm_restraint', 'depth', 'freeplay', 'maap', 'nail_clipping', 'still_face']",[],0
12_Months,M22439,E2,"['arm_restraint', 'freeplay', 'maap', 'nail_clipping', 'still_face']",[],0
12_Months,M22440,E1,"['arm_restraint', 'depth', 'freeplay', 'maap', 'nail_clipping', 'still_face']",[],0
12_Months,M22440,E2,"['arm_restraint', 'freeplay', 'maap', 'nail_clipping', 'still_face']",[],0
12_Months,M22588,E1,"['arm_restraint', 'depth', 'freeplay', 'maap', 'nail_clipping', 'still_face']",[],0
12_Months,M22647,E1,"['freeplay', 'nail_clipping', 'still_face']","['arm_restraint', 'maap']",2
12_Months,M22801,E1,"['arm_restraint', 'depth', 'freeplay', 'maap', 'nail_clipping', 'still_face']",[],0
12_Months,M22801,E2,"['arm_restraint', 'freeplay', 'maap', 'nail_clipping', 'still_face']",[],0
12_Months,M22822,E1,"['arm_restraint', 'depth', 'freeplay', 'maap', 'nail_clipping', 'still_face']",[],0
12_Months,M22822,E2,"['arm_restraint', 'depth', 'freeplay', 'maap', 'nail_clipping', 'still_face']",[],0
12_Months,M22901,E1,"['arm_restraint', 'depth', 'freeplay', 'maap', 'nail_clipping', 'still_face']",[],0
12_Months,M22911,E1,"['arm_restraint', 'depth', 'freeplay', 'maap', 'nail_clipping', 'still_face']",[],0
12_Months,M22911,E2,"['arm_restraint', 'freeplay', 'maap', 'nail_clipping', 'still_face']",[],0
12_Months,M23066,E1,"['arm_restraint', 'depth', 'freeplay', 'maap', 'nail_clipping', 'still_face']",[],0
12_Months,M23066,E2,"['arm_restraint', 'freeplay', 'maap', 'nail_clipping', 'still_face']",[],0
12_Months,M23107,E1,"['arm_restraint', 'freeplay', 'maap', 'still_face']",['nail_clipping'],1
12_Months,M23107,E2,"['arm_restraint', 'freeplay', 'maap', 'still_face']",['nail_clipping'],1
12_Months,M23112,E1,"['arm_restraint', 'depth', 'freeplay', 'maap', 'still_face']",['nail_clipping'],1
12_Months,M23112,E2,"['arm_restraint', 'freeplay', 'maap', 'nail_clipping', 'still_face']",[],0
12_Months,M23274,E1,"['arm_restraint', 'depth', 'freeplay', 'maap', 'nail_clipping', 'still_face']",[],0
